2026-04-13 18:43:45,586 | kafka_producer | INFO | Kafka Producer started
2026-04-13 18:43:46,546 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4200
2026-04-13 18:43:46,547 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4201
2026-04-13 18:43:46,549 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4202
2026-04-13 18:43:46,550 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4203
2026-04-13 18:43:46,551 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4204
2026-04-13 18:43:46,551 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4205
2026-04-13 18:43:46,552 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4206
2026-04-13 18:43:46,553 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4207
2026-04-13 18:43:46,554 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4208
2026-04-13 18:43:46,555 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4209
2026-04-13 18:43:46,556 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4210
2026-04-13 18:43:46,558 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4211
2026-04-13 18:43:46,559 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4212
2026-04-13 18:43:46,560 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4213
2026-04-13 18:43:46,561 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4214
2026-04-13 18:43:46,561 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4215
2026-04-13 18:43:46,562 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4216
2026-04-13 18:43:46,562 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4217
2026-04-13 18:43:46,569 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4218
2026-04-13 18:43:46,570 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4219
2026-04-13 18:43:46,571 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4220
2026-04-13 18:43:46,572 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4221
2026-04-13 18:43:46,572 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4222
2026-04-13 18:43:46,573 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4223
2026-04-13 18:43:46,573 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4224
2026-04-13 18:43:46,575 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4225
2026-04-13 18:43:46,580 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4226
2026-04-13 18:43:46,587 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4227
2026-04-13 18:43:46,588 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4228
2026-04-13 18:43:46,588 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4229
2026-04-13 18:43:46,589 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4230
2026-04-13 18:43:46,589 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4231
2026-04-13 18:43:46,590 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4232
2026-04-13 18:43:46,591 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4233
2026-04-13 18:43:46,592 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4234
2026-04-13 18:43:46,593 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4235
2026-04-13 18:43:46,594 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4236
2026-04-13 18:43:46,598 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4237
2026-04-13 18:43:46,604 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4238
2026-04-13 18:43:46,605 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4239
2026-04-13 18:43:46,607 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4240
2026-04-13 18:43:46,609 | kafka_producer | INFO | Delivered to topic=transactions partition=1 offset=4241
